sample,sub_sample,popper_time_sec,train_precision,train_recall,tp,fn,tn,fp,rules,size,test_precision,test_recall,test_f1
1,1,523,0.89,0.31,5571,12179,17094,656,9,89,1.0,0.7966804979253111,0.8868360277136259
1,2,537,0.91,0.49,8692,8889,16683,898,10,94,0.9608150470219435,0.9162929745889388,0.938026013771997 
2,1,515,0.90,0.37,6310,10945,16535,720,12,114,0.9256678281068524,0.8233471074380165,0.8715144887916894
5,1,535,0.90,0.36,6339,11465,17079,725,12,116,0.9585635359116023,0.754758020663404,0.8445390933982356
2,2,492,0.90,0.53,8771,7882,15731,922,12,108,0.562390158172232,0.9147212958551691,0.6965354616361328
5,2,570,0.90,0.49,8684,9160,16922,922,17,161,0.9646821392532795,0.9100428367444074,0.9365662503061475
3,1,573,0.88,0.27,5220,14144,18685,679,6,58,0.5813953488372093,0.8106355382619974,0.677139761646804
3,2,476,0.90,0.34,5687,10990,16032,645,9,89,0.970873786407767,0.8658008658008658,0.9153318077803204
4,1,599,0.91,0.46,8230,9595,16968,857,10,96,1.0,0.948170731707317,0.97339593114241
4,2,563,0.91,0.44,7545,9443,16213,775,13,125,1.0,0.9093782929399368,0.9525386313465783
5,1,506,0.90,0.34,6008,11796,17113,691,11,107,0.9565846599131693,0.7320044296788483,0.8293601003764115
5,2,548,0.90,0.47,8360,9484,16953,891,17,161,0.9634273772204807,0.892114175133043,0.926400401909068
